"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.16388543>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.25672707>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.80373746>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.16748504>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.26397276>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.6297649>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.16240367>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.2689601>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.58060825>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.1606647>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.27115983>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.636826>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.16760348>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.26505288>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.7063707>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.1640404>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.2731825>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.7873703>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.16537546>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.25606155>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.6484172>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.16494633>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.25697073>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.66934127>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.16242586>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.25953016>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.5849013>}]"
